candidate,target,family,alpha,public_score,public_f1,public_ap,public_delta_vs_v1824a,target_public_score,private_role_changes_vs_v1824a,private_score_mae_vs_v1824a,private_score_max_abs_vs_v1824a,private_score_change_gt_0p05,private_high_wolf_count,risk_adjusted_index,public_csv,private_csv,validation,risk_note
v1863_11,v1853g,charprior,0.85,0.577675660704,0.508063954617,0.624083464763,+0.040114198261,0.594191203418,0,0.059577120907,0.844942000000,166,80,3.769694016871,experiments/submissions/submission_v1863_v1853g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p85_scoreblend_private.csv,OK: 397 predictions validated,maximum public proxy with higher score-calibration risk
v1863_12,v1853g,charprior,1.00,0.594191203418,0.508063954617,0.651609369285,+0.056629740974,0.594191203418,0,0.070090785894,0.994050000000,167,80,5.407098650265,experiments/submissions/submission_v1863_v1853g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha1p0_scoreblend_private.csv,OK: 397 predictions validated,maximum public proxy with higher score-calibration risk
v1863_13,v1850g,lowtail,0.25,0.565530443605,0.508063954617,0.603841436264,+0.027968981161,0.585292262065,0,0.014615712846,0.248512000000,41,81,2.737318651364,experiments/submissions/submission_v1863_v1850g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p25_scoreblend_private.csv,OK: 397 predictions validated,lower-calibration score-only fallback
v1863_14,v1850g,lowtail,0.40,0.568366502162,0.508063954617,0.608568200526,+0.030805039718,0.585292262065,0,0.023385138539,0.397620000000,83,81,2.967645344623,experiments/submissions/submission_v1863_v1850g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p4_scoreblend_private.csv,OK: 397 predictions validated,lower-calibration score-only fallback
v1863_15,v1850g,lowtail,0.55,0.570193761212,0.508063954617,0.611613632276,+0.032632298768,0.585292262065,0,0.032154569270,0.546728000000,94,83,3.128326337778,experiments/submissions/submission_v1863_v1850g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p55_scoreblend_private.csv,OK: 397 predictions validated,lower-calibration score-only fallback
v1863_16,v1850g,lowtail,0.70,0.574638640353,0.508063954617,0.619021764178,+0.037077177909,0.585292262065,0,0.040923992443,0.695835000000,94,83,3.561852472931,experiments/submissions/submission_v1863_v1850g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p7_scoreblend_private.csv,OK: 397 predictions validated,lower-calibration score-only fallback
v1863_17,v1850g,lowtail,0.85,0.577346415178,0.508063954617,0.623534722218,+0.039784952734,0.585292262065,0,0.049693415617,0.844942000000,96,83,3.819653063041,experiments/submissions/submission_v1863_v1850g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p85_scoreblend_private.csv,OK: 397 predictions validated,lower-calibration score-only fallback
v1863_18,v1850g,lowtail,1.00,0.585292262065,0.508063954617,0.636777800364,+0.047730799621,0.585292262065,0,0.058462846348,0.994050000000,96,83,4.603275963407,experiments/submissions/submission_v1863_v1850g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha1p0_scoreblend_private.csv,OK: 397 predictions validated,lower-calibration score-only fallback
v1863_19,v1848g,denoise,0.25,0.565530443605,0.508063954617,0.603841436264,+0.027968981161,0.584514674873,0,0.010683279597,0.248512000000,41,81,2.742234192926,experiments/submissions/submission_v1863_v1848g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p25_scoreblend_private.csv,OK: 397 predictions validated,denoise score-only fallback
v1863_20,v1848g,denoise,0.40,0.568366502162,0.508063954617,0.608568200526,+0.030805039718,0.584514674873,0,0.017093249370,0.397620000000,57,81,3.001706679636,experiments/submissions/submission_v1863_v1848g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p4_scoreblend_private.csv,OK: 397 predictions validated,denoise score-only fallback
v1863_21,v1848g,denoise,0.55,0.570193761212,0.508063954617,0.611613632276,+0.032632298768,0.584514674873,0,0.023503219144,0.546728000000,63,83,3.170374782363,experiments/submissions/submission_v1863_v1848g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p55_scoreblend_private.csv,OK: 397 predictions validated,denoise score-only fallback
v1863_22,v1848g,denoise,0.70,0.574638640353,0.508063954617,0.619021764178,+0.037077177909,0.584514674873,0,0.029913186398,0.695835000000,63,83,3.606850237414,experiments/submissions/submission_v1863_v1848g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p7_scoreblend_private.csv,OK: 397 predictions validated,denoise score-only fallback
v1863_23,v1848g,denoise,0.85,0.577346415178,0.508063954617,0.623534722218,+0.039784952734,0.584514674873,0,0.036323153652,0.844942000000,64,83,3.868607704099,experiments/submissions/submission_v1863_v1848g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p85_scoreblend_private.csv,OK: 397 predictions validated,denoise score-only fallback
v1863_24,v1848g,denoise,1.00,0.584514674873,0.508063954617,0.635481821710,+0.046953212429,0.584514674873,0,0.042733123426,0.994050000000,64,83,4.577421211393,experiments/submissions/submission_v1863_v1848g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha1p0_scoreblend_private.csv,OK: 397 predictions validated,denoise score-only fallback
v1863_25,v1846g,rolecap,0.25,0.564785826455,0.508063954617,0.602600407681,+0.027224364011,0.574171776836,0,0.003867158690,0.248512000000,10,81,2.707526885995,experiments/submissions/submission_v1863_v1846g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p25_scoreblend_private.csv,OK: 397 predictions validated,lowest score-distance high-proxy fallback
v1863_26,v1846g,rolecap,0.40,0.567504924684,0.508063954617,0.607132238063,+0.029943462241,0.574171776836,0,0.006187455919,0.397620000000,12,81,2.974521224051,experiments/submissions/submission_v1863_v1846g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p4_scoreblend_private.csv,OK: 397 predictions validated,lowest score-distance high-proxy fallback
v1863_27,v1846g,rolecap,0.55,0.567951049507,0.508063954617,0.607875779434,+0.030389587063,0.574171776836,0,0.008507753149,0.546728000000,12,83,3.016233334776,experiments/submissions/submission_v1863_v1846g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p55_scoreblend_private.csv,OK: 397 predictions validated,lowest score-distance high-proxy fallback
v1863_28,v1846g,rolecap,0.70,0.567951049507,0.508063954617,0.607875779434,+0.030389587063,0.574171776836,0,0.010828047859,0.695835000000,12,83,3.013332966388,experiments/submissions/submission_v1863_v1846g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p7_scoreblend_private.csv,OK: 397 predictions validated,lowest score-distance high-proxy fallback
v1863_29,v1846g,rolecap,0.85,0.567951049507,0.508063954617,0.607875779434,+0.030389587063,0.574171776836,0,0.013148342569,0.844942000000,13,83,3.009425041325,experiments/submissions/submission_v1863_v1846g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p85_scoreblend_private.csv,OK: 397 predictions validated,lowest score-distance high-proxy fallback
v1863_30,v1846g,rolecap,1.00,0.574171776836,0.508063954617,0.618243658315,+0.036610314392,0.574171776836,0,0.015468639798,0.994050000000,13,83,3.628597402668,experiments/submissions/submission_v1863_v1846g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha1p0_scoreblend_private.csv,OK: 397 predictions validated,lowest score-distance high-proxy fallback
