candidate,target,family,alpha,public_score,global_delta_vs_v1824a,loo_min_delta_vs_v1824a,loo_mean_delta_vs_v1824a,loo_positive_count,loo_negative_count,loo_neutral_count,loo_min_score,private_score_mae_vs_v1824a,private_score_max_abs_vs_v1824a,private_score_change_gt_0p05,private_role_changes_vs_v1824a,robust_index,public_csv,private_csv
v1863_11,v1853g,charprior,0.85,0.577675660704,+0.040114198261,+0.031785198004,+0.040018931121,20,0,0,0.562617410516,0.059577120907,0.844942000000,166,0,4.862122801827,experiments/submissions/submission_v1863_v1853g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha0p85_scoreblend_private.csv
v1863_12,v1853g,charprior,1.00,0.594191203418,+0.056629740974,+0.045147922886,+0.056496053221,20,0,0,0.579088059721,0.070090785894,0.994050000000,167,0,6.919606866847,experiments/submissions/submission_v1863_v1853g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1853g_alpha1p0_scoreblend_private.csv
v1863_13,v1850g,lowtail,0.25,0.565530443605,+0.027968981161,+0.016586236892,+0.027791277254,20,0,0,0.551354133261,0.014615712846,0.248512000000,41,0,2.883553818075,experiments/submissions/submission_v1863_v1850g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p25_scoreblend_private.csv
v1863_14,v1850g,lowtail,0.40,0.568366502162,+0.030805039718,+0.019792445025,+0.030622303153,20,0,0,0.554446106377,0.023385138539,0.397620000000,83,0,3.314132598625,experiments/submissions/submission_v1863_v1850g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p4_scoreblend_private.csv
v1863_15,v1850g,lowtail,0.55,0.570193761212,+0.032632298768,+0.021844470196,+0.032448382853,20,0,0,0.556437423677,0.032154569270,0.546728000000,94,0,3.583993427804,experiments/submissions/submission_v1863_v1850g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p55_scoreblend_private.csv
v1863_16,v1850g,lowtail,0.70,0.574638640353,+0.037077177909,+0.026876283277,+0.036884846221,20,0,0,0.561348653442,0.040923992443,0.695835000000,94,0,4.269445056567,experiments/submissions/submission_v1863_v1850g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p7_scoreblend_private.csv
v1863_17,v1850g,lowtail,0.85,0.577346415178,+0.039784952734,+0.030368753532,+0.039599018361,20,0,0,0.564721177458,0.049693415617,0.844942000000,96,0,4.723163035615,experiments/submissions/submission_v1863_v1850g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha0p85_scoreblend_private.csv
v1863_18,v1850g,lowtail,1.00,0.585292262065,+0.047730799621,+0.039620871196,+0.047531942895,20,0,0,0.573554831989,0.058462846348,0.994050000000,96,0,5.988075991724,experiments/submissions/submission_v1863_v1850g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1850g_alpha1p0_scoreblend_private.csv
v1863_19,v1848g,denoise,0.25,0.565530443605,+0.027968981161,+0.016586236892,+0.027791277254,20,0,0,0.551354133261,0.010683279597,0.248512000000,41,0,2.891418684574,experiments/submissions/submission_v1863_v1848g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p25_scoreblend_private.csv
v1863_20,v1848g,denoise,0.40,0.568366502162,+0.030805039718,+0.019792445025,+0.030622303153,20,0,0,0.554446106377,0.017093249370,0.397620000000,57,0,3.326716376963,experiments/submissions/submission_v1863_v1848g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p4_scoreblend_private.csv
v1863_21,v1848g,denoise,0.55,0.570193761212,+0.032632298768,+0.021844470196,+0.032448382853,20,0,0,0.556437423677,0.023503219144,0.546728000000,63,0,3.601296128056,experiments/submissions/submission_v1863_v1848g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p55_scoreblend_private.csv
v1863_22,v1848g,denoise,0.70,0.574638640353,+0.037077177909,+0.026876283277,+0.036884846221,20,0,0,0.561348653442,0.029913186398,0.695835000000,63,0,4.291466668658,experiments/submissions/submission_v1863_v1848g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p7_scoreblend_private.csv
v1863_23,v1848g,denoise,0.85,0.577346415178,+0.039784952734,+0.030368753532,+0.039599018361,20,0,0,0.564721177458,0.036323153652,0.844942000000,64,0,4.749903559545,experiments/submissions/submission_v1863_v1848g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha0p85_scoreblend_private.csv
v1863_24,v1848g,denoise,1.00,0.584514674873,+0.046953212429,+0.038856610947,+0.046756194248,20,0,0,0.572758505519,0.042733123426,0.994050000000,64,0,5.908163952588,experiments/submissions/submission_v1863_v1848g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1848g_alpha1p0_scoreblend_private.csv
v1863_25,v1846g,rolecap,0.25,0.564785826455,+0.027224364011,+0.015836516228,+0.027047698421,20,0,0,0.550535321348,0.003867158690,0.248512000000,10,0,2.796597046189,experiments/submissions/submission_v1863_v1846g_alpha0p25_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p25_scoreblend_private.csv
v1863_26,v1846g,rolecap,0.40,0.567504924684,+0.029943462241,+0.018821087719,+0.029771360831,20,0,0,0.553520584811,0.006187455919,0.397620000000,12,0,3.212887125633,experiments/submissions/submission_v1863_v1846g_alpha0p4_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p4_scoreblend_private.csv
v1863_27,v1846g,rolecap,0.55,0.567951049507,+0.030389587063,+0.019314215580,+0.030217020798,20,0,0,0.554012734222,0.008507753149,0.546728000000,12,0,3.277623312956,experiments/submissions/submission_v1863_v1846g_alpha0p55_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p55_scoreblend_private.csv
v1863_28,v1846g,rolecap,0.70,0.567951049507,+0.030389587063,+0.019314215580,+0.030217020798,20,0,0,0.554012734222,0.010828047859,0.695835000000,12,0,3.272982723536,experiments/submissions/submission_v1863_v1846g_alpha0p7_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p7_scoreblend_private.csv
v1863_29,v1846g,rolecap,0.85,0.567951049507,+0.030389587063,+0.019314215580,+0.030217020798,20,0,0,0.554012734222,0.013148342569,0.844942000000,13,0,3.268342134115,experiments/submissions/submission_v1863_v1846g_alpha0p85_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha0p85_scoreblend_private.csv
v1863_30,v1846g,rolecap,1.00,0.574171776836,+0.036610314392,+0.026088273890,+0.036431425932,20,0,0,0.560834004441,0.015468639798,0.994050000000,13,0,4.220882045570,experiments/submissions/submission_v1863_v1846g_alpha1p0_scoreblend_public.csv,experiments/submissions/submission_v1863_v1846g_alpha1p0_scoreblend_private.csv
